TransactionID,CustomerID,Product,Category,Price,Quantity,PaymentType,City,Country,TransactionDate,DiscountApplied,Rating,Browser,Device,SessionDuration,CouponCode,ReturnStatus,Warehouse,ShippingType,ReviewText
735,1288,Dress,Electronics,59580,2,UPI,Hyderabad,India,,Yes,2.925896227,Chrome,Mobile,179,OFF20,,WH1,,Good
3568,1600,Headphones,,73051,3,UPI,Hyderabad,India,April 5 2023,N,2.375202287,Safari,Tablet,383,,Returned,,Standard,Good
2647,1750,Laptop,Fashion,41671,1,Cash,,IND,,No,4.847436824,Safari,,257,YIrSES,Not Returned,WH2,Express,
3636,1744,Mobile,Fashion,77354,3,Cash,,IND,,No,1.304574847,,Mobile,373,YIrSES,,,Standard,Bad
2323,1246,Dress,Accessories,13351,1,Cash,Delhi,IN,2023-01-01,,4.19937204,Edge,Mobile,298,OFF20,Not Returned,,,
2542,1306,Dress,Electronics,18122,3,Card,Hyderabad,India,02/03/2023,Y,4.80189505,Edge,Desktop,404,OFF20,Not Returned,WH3,,Bad
4791,1080,Dress,,50397,1,NetBanking,,,2023-01-01,N,4.007174366,Safari,,494,OFF20,,WH3,,Good
1634,1980,Headphones,,94710,1,NetBanking,Hyderabad,India,,No,3.293320052,Safari,Desktop,349,OFF20,,WH1,Express,Good
1573,1057,Headphones,Accessories,92212,3,NetBanking,,India,April 5 2023,Y,2.758151926,,Desktop,499,OFF20,Returned,WH2,Standard,Good
4215,1814,Dress,Accessories,64221,3,,Delhi,,April 5 2023,No,4.999242419,Edge,,99,,Returned,WH3,,Average
3130,1437,Laptop,Fashion,43766,3,,Delhi,India,02/03/2023,Y,3.241011842,,Desktop,230,YIrSES,,WH3,Standard,Good
4210,1913,Laptop,Electronics,67793,2,,Chennai,India,April 5 2023,Yes,4.455871235,Safari,Mobile,76,SAVE10,,WH2,Express,Good
1202,1382,Dress,,74883,1,Card,Delhi,,,No,1.404284617,Safari,Tablet,297,OFF20,Not Returned,WH1,Standard,Bad
2642,1911,Laptop,Electronics,73286,1,NetBanking,Hyderabad,IN,02/03/2023,N,4.8827938,Chrome,Mobile,186,SAVE10,,WH2,,Good
1045,1681,Shoes,,78721,2,UPI,,,April 5 2023,Y,3.520129464,Edge,Tablet,287,YIrSES,Not Returned,,Express,Average
4135,1872,Headphones,Fashion,94213,1,NetBanking,Hyderabad,IND,02/03/2023,Y,3.444682207,Chrome,Tablet,196,YIrSES,Returned,,,Average
3856,1323,Mobile,Fashion,40526,4,NetBanking,Delhi,IN,,N,2.601397459,Safari,Tablet,449,YIrSES,,WH3,,Average
1025,1975,Headphones,Accessories,86960,3,Card,Mumbai,IND,April 5 2023,No,1.547089718,Edge,,400,YIrSES,Returned,WH2,Express,
985,1505,Dress,Fashion,38359,1,UPI,,,April 5 2023,,2.216770516,,Tablet,268,SAVE10,Returned,WH1,Standard,Good
3343,1031,,,95612,2,NetBanking,Hyderabad,IND,April 5 2023,Y,2.034077176,Edge,Desktop,292,SAVE10,,WH2,,Good
3016,1265,,Electronics,19215,3,NetBanking,Mumbai,IN,2023-01-01,No,3.360738014,Edge,Mobile,271,,Returned,WH1,Standard,Bad
2475,1264,Laptop,Electronics,97420,4,Card,Hyderabad,,,Yes,3.838794279,Safari,,167,OFF20,,,Express,Average
138,1401,Laptop,Fashion,66273,4,,Delhi,,April 5 2023,Yes,2.484956029,Chrome,Desktop,183,OFF20,Not Returned,WH2,Standard,Bad
4175,1497,Mobile,Electronics,76114,2,UPI,Hyderabad,,April 5 2023,,2.254013309,Chrome,Mobile,180,YIrSES,Not Returned,WH2,Express,Average
685,1484,Shoes,Accessories,42467,2,UPI,Delhi,IN,2023-01-01,Yes,1.776343987,,Tablet,93,,Returned,WH3,Express,Average
959,1358,,,25368,3,Cash,Hyderabad,IND,April 5 2023,,4.612389621,,Mobile,188,,Not Returned,WH3,Standard,Bad
2715,1285,Dress,Fashion,52603,2,UPI,Chennai,,,Yes,4.089099111,Chrome,Mobile,6,YIrSES,Not Returned,WH3,Express,
603,1745,Shoes,,6142,3,Cash,,IN,,Y,1.293893026,Safari,Desktop,404,YIrSES,,WH1,Express,Bad
3685,1650,Shoes,Electronics,38037,3,,,IND,02/03/2023,,4.709400754,Safari,,171,SAVE10,Returned,WH2,Standard,Average
3609,1211,Laptop,Accessories,12017,4,UPI,,IN,2023-01-01,Yes,4.887797142,Edge,Desktop,174,YIrSES,,WH1,Standard,Average
2680,1023,Mobile,Accessories,84846,4,UPI,Delhi,,,Y,2.377230689,Safari,Tablet,201,SAVE10,,,,Bad
3967,1219,Mobile,Accessories,65093,4,,Mumbai,,April 5 2023,No,4.641695617,Edge,Mobile,114,,Not Returned,WH1,,Good
3492,1374,,,36296,4,UPI,Chennai,,02/03/2023,Yes,4.344116504,,Tablet,370,YIrSES,Returned,,Standard,Good
1501,1020,Mobile,Accessories,2354,2,,Hyderabad,,2023-01-01,No,3.598148219,Edge,,55,OFF20,Not Returned,WH3,,Average
358,1629,Shoes,Accessories,30917,3,NetBanking,,,,,4.230589071,Safari,Mobile,319,OFF20,,WH3,,Bad
3376,1639,Dress,Fashion,2312,4,Card,,,2023-01-01,Y,3.178374163,Chrome,Tablet,47,YIrSES,Returned,WH1,,Average
1618,1642,Mobile,,62085,3,Cash,Hyderabad,,2023-01-01,Y,1.818149429,,Mobile,293,YIrSES,Returned,WH2,Express,Bad
323,1867,Dress,Fashion,84561,1,NetBanking,Chennai,IND,,Yes,3.516167718,Edge,Mobile,11,YIrSES,Returned,WH2,Express,Bad
3573,1919,Shoes,Fashion,22452,1,NetBanking,Chennai,IND,02/03/2023,N,4.107637164,Edge,,9,YIrSES,Returned,,Express,Bad
3253,1582,Mobile,,96556,2,Cash,Chennai,IND,2023-01-01,,4.572305853,Edge,,360,,Returned,WH3,,Average
